"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"157654","7898242036150","AL CAES BIONATURAL PRIME AD R.P CORDEIRO 2,5KG","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","SPECIAL DOG","R$ 83,99","Ativo","R$ 58,50","R$ 25,49","43,6%","1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"885523","17897846303729","AL CAES COLOSSO AD PATE CORDEIRO LT 280G","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 8,99","Ativo","R$ 4,99","R$ 4,00","80,2%","10","Tributada ICMS","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","00","Ativo","","",""
"411393","17897846303538","AL CAES COLOSSO AD PATE JUNIOR LT 280G","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 8,99","Ativo","R$ 4,99","R$ 4,00","80,2%","10","Tributada ICMS","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","00","Ativo","","",""
"195508","7898363314581","AL CAES FORM NATU AD MINI/PQ 1KG","SEROPEC","NAO INFORMADO","R$ 56,99","Ativo","R$ 41,56","R$ 15,43","37,1%","5","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"413271","7897348200437","AL CAES PREMIER GOURMET R.M.G FRANGO SCH 85G","PET&PET","NAO INFORMADO","R$ 9,99","Ativo","R$ 6,14","R$ 3,85","62,7%","7","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","7897348200444","",""
"139658","7898363315076","AL GATO FORMULA NAT AD FRANGO 1KG","SEROPEC","NAO INFORMADO","R$ 62,99","Ativo","R$ 46,19","R$ 16,80","36,4%","1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"160142","7898363315113","AL GATO FORMULA NAT FILHOTE 1KG","SEROPEC","NAO INFORMADO","R$ 70,99","Ativo","R$ 52,13","R$ 18,86","36,2%","1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"152949","7898363319975","AL GATO FORMULA NAT LIFE AD FRA/SALM 1KG","SEROPEC","NAO INFORMADO","R$ 53,99","Ativo","R$ 39,91","R$ 14,08","35,3%","1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"149058","7898363312013","AL GATO FORMULA NAT LIFE CAST FRANGO 1KG","SEROPEC","NAO INFORMADO","R$ 46,99","Ativo","R$ 34,33","R$ 12,66","36,9%","2","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"774487","7898942162329","AL GATO FOSTER ONE GT CAST BLEND 10,1KG","NUTRILEAL RIO BONITO - FOSTER","NAO INFORMADO","R$ 113,99","Ativo","R$ 0,00","R$ 113,99","100,0%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"190989","7898752403384","AL GATOS FN LIFE AD. CAST SALMAO 10,1KG","SEROPEC","NAO INFORMADO","R$ 279,99","Ativo","R$ 207,00","R$ 72,99","35,3%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"186228","7898752403407","AL GATOS FN LIFE FILH FRAN/SALM 10,1KG","SEROPEC","NAO INFORMADO","R$ 293,99","Ativo","R$ 217,33","R$ 76,66","35,3%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"903593","7898329491646","AL PAS FORTE M TRINCA TRITURADA C/ FRUTAS 500GR","SEROPEC","NAO INFORMADO","R$ 8,99","Ativo","R$ 0,00","R$ 8,99","100,0%","0","Subst. Tributaria","PASSAROS/OUTROS PETS","AVES","0.00","0.00","60","Ativo","","",""
"121402","7898591871634","AL PAS NUTROPICA FARINHADA CALOPSITA COM MEL E OVOS 200G","ALFAVET","NAO INFORMADO","R$ 33,99","Ativo","R$ 25,03","R$ 8,96","35,8%","1","Tributada ICMS","PASSAROS/OUTROS PETS","AVES","0.00","0.00","00","Ativo","","",""
"537241","7898591870224","AL PAS NUTROPICA SELECAO NATURAL PAPAGAIO 300G","ALFAVET","NAO INFORMADO","R$ 42,99","Ativo","R$ 31,31","R$ 11,68","37,3%","1","Tributada ICMS","PASSAROS/OUTROS PETS","AVES","0.00","0.00","00","Ativo","","",""
"113773","7898752403483","BISC CAES COOKIES FORMULA NAT  FM FRANGO 150G","SEROPEC","NAO INFORMADO","R$ 19,99","Ativo","R$ 14,32","R$ 5,67","39,6%","2","Tributada ICMS","RACAO","BISCOITOS","0.00","0.00","00","Ativo","","",""
"164125","7898363316158","BISC CAES FORMULA NAT BISCUITS ABOBORA 250G","SEROPEC","NAO INFORMADO","R$ 15,99","Ativo","R$ 11,58","R$ 4,41","38,1%","3","Tributada ICMS","PETISCOS, MOLHOS E PATES","BISCOITOS","0.00","0.00","00","Ativo","","",""
"197238","7898363316165","BISC CAES FORMULA NAT BISCUITS PP BATATA 250G","SEROPEC","NAO INFORMADO","R$ 15,99","Ativo","R$ 11,58","R$ 4,41","38,1%","4","Tributada ICMS","PETISCOS, MOLHOS E PATES","BISCOITOS","0.00","0.00","00","Ativo","","",""
"680883","7898363318299","BISC CAES FORMULA NAT ORGANIC ORIGEM AD MANGA 150G","SEROPEC","NAO INFORMADO","R$ 19,99","Ativo","R$ 14,35","R$ 5,64","39,3%","1","Tributada ICMS","PETISCOS, MOLHOS E PATES","BISCOITOS","0.00","0.00","00","Ativo","","",""
"178619","7898363316653","BISC CAES ORIGENS FILH BANANA 300G","SEROPEC","NAO INFORMADO","R$ 14,99","Ativo","R$ 10,90","R$ 4,09","37,5%","3","Subst. Tributaria","PETISCOS, MOLHOS E PATES","BISCOITOS","0.00","0.00","60","Ativo","","",""
"151896","7898971881314","COLEIRA PRO CANINE STRASS ROSA 43CM N4","VENTURA","NAO INFORMADO","R$ 24,99","Ativo","R$ 17,10","R$ 7,89","46,1%","0","Tributada ICMS","ACESSORIOS","COLEIRAS, GUIAS, PEITORAIS","0.00","0.00","00","Ativo","","",""
"149805","7892052000038","COMED ANTIFORMIGA TRANSP GLITTER ROSA 160ML","VENTURA","NAO INFORMADO","R$ 4,99","Ativo","R$ 2,99","R$ 2,00","66,9%","0","Tributada ICMS","BRINQUEDOS","BRINQUEDO","0.00","0.00","00","Ativo","","",""
"975623","7892052000045","COMED ANTIFORMIGA TRANSP GLITTER VERM 160ML","VENTURA","NAO INFORMADO","R$ 4,99","Ativo","R$ 1,99","R$ 3,00","150,8%","0","Tributada ICMS","BRINQUEDOS","BRINQUEDO","0.00","0.00","00","Ativo","","",""
"153586","7898568971510","MED CONFRONT PLUS 2,68ML SPOT ON 20 ATE 40KG","RPI DISTRIBUICAO DE PRODUTOS","NAO INFORMADO","R$ 28,99","Ativo","R$ 14,26","R$ 14,73","103,3%","9","Tributada ICMS","ANTIPARASITARIOS","FARMACIA","0.00","0.00","00","Ativo","","",""
"177103","7891126002879","MED. AVITRIN VR 15ML","SEROPEC","NAO INFORMADO","R$ 16,99","Ativo","R$ 0,00","R$ 16,99","100,0%","0","Tributada ICMS","PASSAROS/OUTROS PETS","AVES","0.00","0.00","00","Ativo","","",""
